station_a,station_b,mileage
乐山,新津,99
青莲,江油,14
绵阳,青莲,25
双流机场,新津南,29
青神,峨眉,50
双流西,青神,81
广汉北,绵阳,67
成都东,广汉北,46
彭山北,青神,41
新都东,德阳,45
剑门关,江油,88
乐山,双流机场,141
犍为,乐山,16
宜宾西,犍为,98
彭山北,宜宾西,210
乐山,彭山北,96
屏山,乐山,85
宜宾西,屏山,29
宜宾西,乐山,141
贵阳北,贵阳,10
贵阳东,贵阳北,11
洛湾三江,贵阳东,9
百宜,洛湾三江,19
南江,百宜,9
开阳,南江,17
百宜,贵阳北,39
洛湾三江,贵阳北,20
南江,洛湾三江,28
梁平南,万州北,65
垫江,梁平南,53
长寿北,垫江,61
重庆北,长寿北,66
垫江,重庆北,127
复盛,垫江,101
重庆北,复盛,26
长寿湖,重庆北,83
垫江,长寿湖,44
万州北,重庆北,245
垫江,万州北,118
复盛,长寿湖,57
梁平南,长寿湖,97
长寿湖,长寿北,17
长寿北,梁平南,114
重庆北,梁平南,180
青岛北,青岛,15
莱阳,青岛北,101
烟台南,莱阳,86
威海北,烟台南,60
荣成,威海北,54
威海,烟台南,73
荣成,威海,41
威海北,威海,13
牟平,威海北,37
烟台南,牟平,23
桃村北,烟台南,36
海阳北,桃村北,23
莱阳,海阳北,27
即墨北,莱阳,70
青岛北,即墨北,31
桃村北,莱阳,50
烟台,桃村北,48
文登东,荣成,17
威海,文登东,24
烟台南,海阳北,59
牟平,威海,50
羊马,成都西,26
崇州,羊马,7
大邑,崇州,16
邛崃,大邑,18
蒲江,雅安,48
邛崃,蒲江,25
成都西,崇州,33
邛崃,崇州,34
名山,大邑,78
雅安,名山,13
大邑,成都西,49
成都西,雅安,140
温江,成都西,20
崇州,温江,13
西来,崇州,46
朝阳湖,西来,19
雅安,朝阳湖,42
西来,蒲江,13
邛崃,西来,12
成都西,邛崃,67
名山,邛崃,60
大邑,朝阳湖,49
蒲江,大邑,43
蒲江,名山,35
成都西,蒲江,92
邛崃,雅安,73
大邑,羊马,23
西来,雅安,61
雅安,崇州,107
邛崃,朝阳湖,31
崇州,蒲江,59
朝阳湖,蒲江,6
崇州,名山,94
宜宾西,双流机场,255
成都东,眉山东,82
宜宾西,成都东,276
成都南,宜宾西,268
泥溪,眉山东,146
屏山,泥溪,19
新津,成都南,28
宜宾西,眉山东,133
彭山北,成都南,107
泥溪,犍为,50
宜宾西,泥溪,48
乐山,泥溪,93
深圳坪山,惠州南,20
深圳北,深圳坪山,36
惠州南,深圳北,56
鼎湖东,肇庆,27
大旺,鼎湖东,19
云东海,大旺,6
佛山西,云东海,29
狮山,佛山西,8
三水北,狮山,10
大旺,三水北,17
端州,肇庆,7
鼎湖山,端州,11
鼎湖东,鼎湖山,9
四会,鼎湖东,12
大旺,四会,7
三水北,云东海,11
佛山西,三水北,18
狮山北,狮山,4
三水北,狮山北,6
鼎湖东,云东海,25
端州,鼎湖东,20
云东海,狮山,21
大旺,佛山西,35
佛山西,狮山北,12
大旺,狮山北,23
佛山西,广州,30
肇庆,佛山西,81
肇庆,鼎湖山,18
树木岭,长沙,5
香樟路,树木岭,2
湘府路,香樟路,3
先锋,湘府路,6
芙蓉南,先锋,4
板塘,芙蓉南,24
湘潭,板塘,5
先锋,香樟路,9
荷塘,先锋,23
板塘,荷塘,5
先锋,板塘,28
洞井,先锋,4
香樟路,洞井,5
先锋,树木岭,11
暮云,先锋,9
荷塘,暮云,14
暮云,板塘,19
芙蓉南,暮云,5
长沙,湘府路,10
洞井,湘府路,2
昭山,先锋,17
荷塘,昭山,6
长沙,先锋,16
芙蓉南,香樟路,13
暮云,昭山,8
香樟路,暮云,18
长沙,香樟路,7
芙蓉南,洞井,8
芙蓉南,荷塘,19
树木岭,湘府路,5
昭山,板塘,11
洞井,树木岭,7
昭山,芙蓉南,13
芙蓉南,树木岭,15
芙蓉南,湘府路,10
开福寺,长沙,6
观沙岭,开福寺,3
八方山,观沙岭,1
谷山,八方山,3
尖山,谷山,2
麓谷,尖山,3
长沙西,麓谷,4
尖山,长沙西,7
观沙岭,尖山,6
洞井,板塘,32
八方山,开福寺,4
长沙,洞井,12
暮云,洞井,13
洞井,昭山,21
东莞,广州东,63
常平,东莞,19
樟木头,常平,13
平湖,樟木头,24
深圳,平湖,20
樟木头,深圳,44
广州,广州东,8
江门东,新会,7
古镇,江门东,11
小榄,古镇,9
顺德,小榄,30
广州南,顺德,15
容桂,顺德,17
小榄,容桂,13
顺德学院,顺德,8
小榄,顺德学院,22
广州南,容桂,32
南头,容桂,5
小榄,南头,8
广州南,小榄,45
顺德学院,广州南,23
南头,顺德学院,14
新会,古镇,18
小榄,江门东,20
北滘,广州南,11
容桂,北滘,21
北滘,南头,26
广州南,南头,37
小榄,新会,27
鲘门,汕尾,33
惠州南,鲘门,67
汕尾,惠州南,100
西平西,道滘,10
东城南,西平西,3
寮步,东城南,9
松山湖北,寮步,6
大朗镇,松山湖北,6
常平南,大朗镇,6
常平东,常平南,4
樟木头东,常平东,7
银瓶,樟木头东,5
沥林北,银瓶,8
仲恺,沥林北,12
惠环,仲恺,5
龙丰,惠环,5
西湖东,龙丰,3
云山,西湖东,3
小金口,云山,5
明珠,小榄,64
珠海,明珠,7
中山北,珠海,52
小榄,中山北,19
前山,珠海,3
南朗,前山,30
中山北,南朗,19
唐家湾,珠海,19
小榄,唐家湾,52
中山,小榄,25
珠海,中山,46
珠海,南朗,33
唐家湾,中山,27
唐家湾,中山北,33
明珠,唐家湾,12
中山北,明珠,45
北滘,顺德,4
珠海北,中山北,29
珠海,珠海北,23
南朗,明珠,26
小榄,南朗,38
顺德,南头,22
小榄,北滘,34
东升,中山北,12
小榄,东升,7
中山北,前山,49
珠海北,小榄,48
明珠,珠海北,16
中山,顺德学院,47
珠海北,中山,23
中山北,中山,6
中山,明珠,39
顺德,中山,55
明珠,前山,4
前山,中山,43
小榄,珠海,71
顺德学院,容桂,9
珠海北,南朗,10
唐家湾,广州南,97
中山北,容桂,32
碧江,容桂,27
广州南,碧江,5
珠海北,东升,41
珠海北,唐家湾,14
唐家湾,南朗,14
小榄,前山,68
小榄,碧江,40
中山,容桂,38
顺德学院,北滘,12
前山,珠海北,20
容桂,南朗,51
田心东,先锋,26
大丰,田心东,3
株洲南,大丰,13
芙蓉南,田心东,22
暮云,田心东,17
九郎山,先锋,20
田心东,九郎山,6
九郎山,暮云,11
田心东,湘府路,32
田心东,树木岭,37
田心东,洞井,30
九郎山,树木岭,31
八方山,尖山,5
长沙,大丰,45
长沙西,谷山,9
宁强南,汉中,76
昆明南,昆明,28
玉溪,昆明南,79
建水,玉溪,96
蒙自,建水,72
昆明南,建水,175
通海,昆明南,111
建水,通海,64
中川机场,兰州西,60
中川机场,兰州,15
兰州新区,兰州西,56
中川机场,兰州新区,4
西固,兰州新区,42
兰州西,西固,14
唐山北,北京,151
北戴河,唐山北,126
沈阳,北戴河,426
盘锦北,沈阳,154
葫芦岛北,盘锦北,112
绥中北,葫芦岛北,59
北戴河,绥中北,101
北京,北戴河,277
滦县,北京,208
秦皇岛,滦县,91
东戴河,山海关,9
锦州南,东戴河,156
沈阳北,锦州南,223
开原西,沈阳北,101
昌图西,开原西,28
长春西,昌图西,169
德惠西,长春西,84
哈尔滨西,德惠西,156
扶余北,哈尔滨西,98
德惠西,扶余北,58
铁岭西,长春西,244
沈阳北,铁岭西,54
唐山北,东戴河,173
葫芦岛北,北戴河,160
锦州南,葫芦岛北,43
沈阳,锦州南,223
扶余北,长春,142
哈尔滨北,哈尔滨,13
肇东,哈尔滨北,50
大庆西,肇东,108
齐齐哈尔南,大庆西,109
哈尔滨,肇东,62
长春,德惠西,84
双城北,德惠西,116
哈尔滨西,双城北,40
哈尔滨西,长春西,240
海林北,哈尔滨西,286
牡丹江,海林北,21
山海关,绥中北,63
北戴河,山海关,38
横道河子东,牡丹江,51
哈尔滨西,横道河子东,256
宾州,哈尔滨西,74
胜利镇,宾州,42
方正,胜利镇,65
依兰,方正,82
佳木斯,依兰,87
长春,双吉,94
双城北,扶余北,58
安达,哈尔滨西,134
大庆西,安达,43
杜尔伯特,大庆西,42
齐齐哈尔南,杜尔伯特,67
秦皇岛,唐山北,148
锦州南,秦皇岛,181
佳木斯,哈尔滨,343
尚志南,哈尔滨,141
一面坡北,尚志南,17
亚布力西,一面坡北,46
海林北,亚布力西,75
亚布力西,横道河子东,45
台安,沈阳北,99
锦州南,台安,124
山海关,锦州南,165
石家庄东,石家庄,18
辛集南,石家庄东,55
衡水北,辛集南,43
景州,衡水北,44
德州东,景州,45
禹城东,德州东,43
齐河,禹城东,29
济南西,齐河,21
辛集南,石家庄,73
平原东,德州东,24
齐河,平原东,48
平原东,济南西,69
禹城东,济南西,50
平原东,禹城东,19
藁城南,辛集南,33
石家庄,藁城南,40
衡水北,藁城南,76
德州东,衡水北,89
济南,济南西,20
章丘,济南,49
淄博,章丘,61
潍坊,淄博,100
青岛北,潍坊,168
高密,青岛北,83
潍坊,高密,85
青州市,潍坊,57
淄博,青州市,43
藁城南,石家庄东,22
即墨北,潍坊,157
烟台南,即墨北,156
夏格庄,莱阳,42
高密,夏格庄,100
衡水北,石家庄东,98
莱阳,高密,142
高密,即墨北,72
石家庄,衡水北,116
夏格庄,即墨北,28
海阳北,夏格庄,69
潍坊,莱阳,227
大明湖,章丘,46
济南,大明湖,3
德州东,齐河,12
海阳北,烟台,71
胶州北,即墨北,25
潍坊,胶州北,132
阳泉北,太原南,129
石家庄,阳泉北,103
太原南,石家庄,232
临汾西,运城北,123
霍州东,临汾西,64
平遥古城,霍州东,76
太原南,平遥古城,93
昌乐,潍坊,24
淄博,昌乐,76
太谷西,太原南,47
临汾西,太谷西,186
侯马西,运城北,64
霍州东,侯马西,123
太谷西,平遥古城,46
晋中,太谷西,31
太原南,晋中,16
济南西,德州东,93
灵石东,平遥古城,39
洪洞西,灵石东,81
襄汾西,洪洞西,52
闻喜西,襄汾西,59
运城北,闻喜西,32
青岛西,青岛北,74
董家口,青岛西,35
日照西,董家口,44
岚山西,日照西,27
赣榆,岚山西,38
连云港,赣榆,35
响水县,连云港,80
滨海港,响水县,22
阜宁东,滨海港,31
射阳,阜宁东,15
盐城北,射阳,27
辽中,盘锦北,86
沈阳,辽中,68
鄠邑,西安北,45
佛坪,鄠邑,95
汉中,佛坪,102
广元,宁强南,62
南部,广元,127
武胜,南部,118
合川,武胜,52
重庆西,合川,61
遵义,重庆西,221
息烽,遵义,71
贵阳北,息烽,55
遵义,贵阳北,126
桐梓东,遵义,53
重庆西,桐梓东,168
鄠邑,汉中,197
洋县西,鄠邑,148
汉中,洋县西,49
广元,汉中,138
阆中,广元,106
南充北,阆中,82
重庆西,南充北,170
遵义南,贵阳北,99
重庆西,遵义南,248
武胜,重庆西,113
南充北,武胜,57
苍溪,南充北,106
西安北,汉中,242
内江北,成都东,153
永川东,内江北,92
重庆西,永川东,57
贵阳东,遵义南,89
贵定县,贵阳东,77
从江,贵定县,197
三江南,从江,52
桂林北,三江南,93
桂林,桂林北,8
鹿寨北,桂林,106
柳州,鹿寨北,50
南宁东,柳州,212
钦州东,南宁东,106
合浦,钦州东,68
北海,合浦,23
钦州东,北海,91
南宁,钦州东,117
南宁东,南宁,11
永福南,柳州,112
桂林北,永福南,52
都匀东,从江,158
龙里北,都匀东,74
贵阳东,龙里北,42
遵义,贵阳东,123
綦江东,遵义,160
重庆西,綦江东,61
内江北,重庆西,149
永川东,隆昌北,66
桐梓北,綦江东,70
息烽,桐梓北,154
贵阳东,息烽,52
都匀东,贵阳东,116
桂林北,都匀东,303
永福南,桂林,51
鹿寨北,永福南,55
来宾北,柳州,73
南宁东,来宾北,139
宾阳,南宁东,83
来宾北,宾阳,23
五通,桂林北,25
从江,五通,126
榕江,从江,51
都匀东,榕江,101
遵义,遵义南,27
桐梓北,遵义,83
资阳北,内江北,70
简阳南,成都东,53
资中北,简阳南,71
娄山关南,重庆西,191
遵义,娄山关南,30
桂林北,从江,145
鹿寨北,桂林北,114
桂林北,柳州,164
贵定县,都匀东,46
赶水东,桐梓东,76
重庆西,赶水东,92
大足南,重庆西,79
隆昌北,大足南,44
资阳北,隆昌北,96
珞璜南,重庆西,22
桐梓东,珞璜南,146
桂林北,榕江,202
三都县,三江南,184
龙里北,三都县,100
赶水东,綦江东,31
遵义,赶水东,129
都匀东,三都县,26
龙洞堡,都匀东,98
贵阳东,龙洞堡,18
遵义南,桐梓东,80
三江南,都匀东,210
柳州,桂林,156
修文县,贵阳东,26
遵义,修文县,97
桐梓北,重庆西,138
五通,贵阳东,394
北海,南宁东,219
山海关,葫芦岛北,122
重庆西,成都东,302
贵阳东,重庆西,344
桂林西,贵阳东,413
肇庆东,桂林西,368
广州南,肇庆东,83
佛山西,广州南,33
肇庆东,佛山西,43
贺州,肇庆东,185
钟山西,贺州,24
恭城,钟山西,60
阳朔,恭城,34
桂林西,阳朔,65
都匀东,桂林西,297
遂宁,重庆西,163
成都东,遂宁,146
潼南,成都东,198
重庆西,潼南,104
贵阳东,桐梓东,176
龙里北,龙洞堡,24
贺州,阳朔,111
怀集,贺州,97
三水南,怀集,120
佛山西,三水南,11
阳朔,钟山西,94
三都县,桂林西,271
桐梓东,娄山关南,23
成都东,璧山,275
合川,成都东,248
桂林西,五通,19
贺州,桂林西,183
广宁,怀集,46
肇庆东,广宁,42
贺州,广宁,136
三江南,桂林西,87
赶水东,息烽,200
綦江东,珞璜南,46
桐梓东,綦江东,100
息烽,遵义南,37
桂林西,榕江,189
恭城,桂林西,106
肇庆东,怀集,88
三水南,广州南,51
桂林西,钟山西,159
贵定县,三都县,72
龙洞堡,贵定县,60
桐梓东,修文县,150
成都东,资中北,124
大足南,资阳北,140
佛山西,桂林西,411
荣昌北,重庆西,89
内江北,荣昌北,60
娄山关南,珞璜南,169
贺州,佛山西,228
榕江,五通,177
龙里北,榕江,175
潼南,合川,50
重庆西,资阳北,219
贵阳东,桐梓北,206
珞璜南,遵义,199
简阳南,隆昌北,126
荣昌北,成都东,213
璧山,荣昌北,62
中山,广州南,63
怀集,佛山西,138
从江,桂林西,180
钟山西,怀集,114
珞璜南,赶水东,70
内江北,璧山,122
江油北,广元,89
江油,江油北,37
三江南,榕江,109
潼南,遂宁,52
广州,肇庆东,80
三水南,广州,48
贺州,三水南,210
桐梓东,息烽,124
修文县,重庆西,318
贺州,恭城,77
桂林西,龙洞堡,395
广宁,佛山西,92
遵义南,修文县,70
娄山关南,遵义南,57
贵阳东,娄山关南,153
五通,龙洞堡,376
三都县,龙洞堡,124
榕江,三都县,75
恭城,榕江,295
綦江东,贵阳东,296
怀集,阳朔,208
三都县,从江,132
肇庆东,三水南,25
从江,龙洞堡,256
广州南,贺州,261
从江,龙里北,232
钟山西,三水南,234
贵阳东,三都县,142
重庆西,重庆北,30
贵定县,龙里北,28
贵阳东,三江南,326
沈阳北,盘锦北,154
公主岭南,沈阳北,235
长春,公主岭南,75
洪洞西,太原南,213
临汾西,洪洞西,20
侯马西,临汾西,59
大荔,运城北,107
西安北,大荔,116
城固北,佛坪,74
汉中,城固北,8
绵阳,剑门关,127
青川,青莲,84
广元,青川,177
鄠邑,城固北,169
渭南北,西安北,63
运城北,洪洞西,143
永济北,运城北,53
大荔,永济北,54
洋县西,西安北,185
绵阳,广元,165
运城北,渭南北,160
太原南,霍州东,169
江油北,剑门关,51
江油北,绵阳,76
城固北,洋县西,21
罗江东,剑门关,153
广汉北,罗江东,41
朝天,广元,38
汉中,朝天,100
阿房宫,洋县西,171
西安北,阿房宫,22
江油,青川,70
新都东,江油,131
广元,西安北,380
成都东,广元,278
罗江东,青白江东,55
青川,罗江东,135
佛坪,西安北,140
洋县西,佛坪,53
青白江东,青川,190
鄠邑,阿房宫,23
江油北,德阳,123
青莲,德阳,72
剑门关,青莲,102
江油,罗江东,65
江油北,罗江东,102
青白江东,江油,120
江油北,成都东,189
青川,江油北,33
城固北,阿房宫,192
佛坪,阿房宫,118
南部,南充北,66
阆中,南部,16
苍溪,阆中,29
宁强南,朝天,24
大荔,渭南北,53
闻喜西,永济北,77
临汾西,闻喜西,91
灵石东,霍州东,37
祁县东,灵石东,71
太原南,祁县东,61
祁县东,太谷西,19
介休东,祁县东,45
侯马西,介休东,181
南充北,合川,109
介休东,洪洞西,105
洪洞西,平遥古城,120
侯马西,洪洞西,79
永济北,侯马西,117
平遥古城,侯马西,194
晋中,平遥古城,74
灵石东,太谷西,85
临汾西,灵石东,101
城固北,西安北,214
阆中,武胜,134
南部,重庆西,231
苍溪,南部,45
重庆北,武胜,108
合川,重庆北,56
重庆北,南充北,165
广元,南充北,188
锦州南,辽中,155
唐山北,锦州南,329
昌图西,长春,181
铁岭西,昌图西,75
绥中北,沈阳北,325
北京,绥中北,378
正定机场,石家庄,37
高碑店东,正定机场,161
北京西,高碑店东,83
保定东,北京西,139
定州东,保定东,62
石家庄,定州东,80
平遥古城,祁县东,27
临汾西,平遥古城,140
襄汾西,临汾西,32
霍州东,洪洞西,44
介休东,霍州东,58
平遥古城,介休东,18
保定东,正定机场,105
高碑店东,保定东,56
涿州东,北京西,104
保定东,涿州东,35
石家庄,保定东,142
广州南,南宁东,563
四平东,铁岭西,126
公主岭南,四平东,55
常山,衢州,33
开化,常山,21
德兴东,开化,42
婺源,德兴东,18
景德镇北,婺源,69
鄱阳,景德镇北,35
都昌,鄱阳,52
湖口,都昌,34
九江,湖口,30
庐山,九江,19
德安,庐山,36
南昌,德安,80
永修,南昌,46
德安,永修,34
九江,德安,55
广州南,贵阳北,867
白沙铺,大冶北,20
阳新,白沙铺,16
瑞昌西,阳新,52
九江,瑞昌西,46
都昌,九江,58
黄山北,婺源,76
千岛湖,黄山北,119
绩溪北,千岛湖,78
歙县北,绩溪北,23
黄山北,歙县北,18
鄱阳,婺源,104
大冶北,阳新,37
武汉,黄石北,85
红安西,汉口,72
麻城北,红安西,39
金寨,麻城北,109
六安,金寨,52
合肥南,六安,87
南京南,合肥南,157
溧阳,南京南,98
宜兴,溧阳,31
湖州,宜兴,56
杭州,湖州,71
德清,杭州,38
湖州,德清,36
长兴,湖州,20
宜兴,长兴,36
南京南,宜兴,129
全椒,南京南,56
合肥南,全椒,101
麻城北,六安,161
荆州,汉口,204
宜昌东,荆州,88
潜江,荆州,70
天门南,潜江,51
汉口,天门南,83
金寨,汉口,220
溧水,南京南,46
宜兴,溧水,83
杭州东,湖州,287
溧水,溧阳,52
汉口,六安,272
绍兴东,杭州东,74
宁波,绍兴东,81
余姚北,宁波,49
绍兴北,余姚北,63
杭州东,绍兴北,43
宜兴,杭州东,127
瓦屋山,宜兴,61
江宁,瓦屋山,56
南京南,江宁,12
仙桃西,汉口,114
潜江,仙桃西,20
四平东,长春,130
开原西,四平东,79
山海关,盘锦北,225
潼南,成都,200
重庆北,潼南,106
丰都,长寿北,66
石柱县,丰都,49
恩施,石柱县,163
宜昌东,恩施,207
仙桃西,荆州,90
镇江,南京南,74
常州,镇江,72
昆山南,苏州,34
上海虹桥,昆山南,50
镇江,丹阳,27
潜江,汉口,134
巴东,宜昌东,113
恩施,巴东,101
利川,恩施,61
丰都,利川,144
重庆北,丰都,134
涪陵北,重庆北,92
丰都,涪陵北,42
汉川,仙桃西,68
汉口,汉川,46
金寨,红安西,148
嘉善南,嘉兴南,17
上海虹桥,嘉善南,67
红安西,六安,200
建始,巴东,66
恩施,建始,35
石柱县,利川,95
重庆北,石柱县,183
枝江北,宜昌东,44
荆州,枝江北,44
丹阳,南京南,101
苏州园区,昆山南,24
苏州,苏州园区,10
长寿北,石柱县,115
大英东,成都东,119
潼南,大英东,79
利川,涪陵北,144
天门南,荆州,112
麻城北,汉口,111
杭州东,德清,26
荆州,汉川,158
建始,宜昌东,179
重庆北,利川,278
恩施,丰都,205
武汉,汉口,31
庐山,阳新,84
共青城,庐山,44
南昌西,共青城,80
抚州,南昌西,101
南丰,抚州,90
泰宁,南丰,79
将乐,泰宁,32
三明北,将乐,50
尤溪,三明北,42
永泰,尤溪,95
福州,永泰,68
尤溪,福州,153
永修,南昌西,53
瑞昌西,庐山,27
黄石北,白沙铺,19
天门南,汉川,32
涪陵北,石柱县,91
恩施,涪陵北,247
阳新,黄石北,46
南昌西,庐山,134
建宁县北,南丰,49
泰宁,建宁县北,30
三明北,泰宁,92
莆田,三明北,196
泉州,莆田,69
厦门北,泉州,71
晋江,厦门北,46
泉州,晋江,25
尤溪,泉州,223
建宁县北,将乐,72
南城,建宁县北,81
抚州,南城,48
宜昌东,潜江,158
共青城,永修,26
德安,共青城,8
遂宁,重庆北,145
涪陵北,长寿北,24
德安,阳新,61
南昌西,德安,303
建宁县北,抚州,119
武汉,瑞昌西,183
潜江,汉川,88
溧水,江宁,34
湖州,溧阳,87
合川,遂宁,102
天门南,仙桃西,31
溧阳,长兴,67
宜昌东,仙桃西,178
枝江北,汉川,202
扬州,合肥南,225
泰州,扬州,64
海安,泰州,54
南通,海安,65
镇江,南京,64
嘉兴南,上海虹桥,84
海宁西,嘉兴南,49
杭州东,海宁西,26
余姚北,杭州东,106
奉化,宁波,38
台州,奉化,114
温岭,台州,24
绅坊,温岭,46
温州南,绅坊,53
福鼎,温州南,94
罗源,福鼎,136
福州南,罗源,64
福清,福州南,36
泉州,福清,119
漳州,厦门北,42
漳浦,漳州,45
潮汕,漳浦,122
普宁,潮汕,53
陆丰,普宁,61
惠州南,陆丰,135
潮汕,汕尾,149
饶平,潮汕,41
云霄,饶平,50
漳州,云霄,76
福州南,莆田,86
连江,福州南,32
宁德,连江,56
福安,宁德,27
瑞安,福安,156
温州南,瑞安,23
雁荡山,温州南,76
台州,雁荡山,47
宁海,台州,80
宁波,宁海,72
绍兴东,余姚北,63
桐乡,嘉兴南,28
杭州东,桐乡,47
台州,宁波,152
乐清,温岭,64
温州南,乐清,35
惠东,深圳坪山,52
汕尾,惠东,68
潮阳,汕尾,123
潮汕,潮阳,26
诏安,潮汕,59
漳州,诏安,108
涵江,泉州,89
福州南,涵江,66
宁德,福州南,88
福鼎,宁德,112
松江南,上海虹桥,31
嘉兴南,松江南,53
余杭,嘉兴南,60
杭州东,余杭,15
三门县,宁波,106
台州,三门县,46
普宁,汕尾,96
涵江,莆田,20
福清,涵江,30
霞浦,宁德,59
温州南,霞浦,147
永嘉,温州南,18
乐清,永嘉,17
宁海,温岭,104
金山北,上海虹桥,48
嘉兴南,金山北,36
杭州东,嘉兴南,75
绍兴东,绍兴北,31
永嘉,温岭,81
福安,温州南,169
潮汕,漳州,255
陆丰,潮汕,104
陆丰,深圳坪山,155
诏安,饶平,18
漳浦,诏安,63
厦门北,漳浦,87
福安,罗源,51
霞浦,福安,32
苍南,霞浦,90
温州南,苍南,57
雁荡山,乐清,41
奉化,雁荡山,161
上海虹桥,桐乡,112
三门县,奉化,68
温州南,温岭,6
太姥山,温州南,113
宁德,太姥山,93
惠安,福州南,137
厦门北,惠安,89
深圳北,陆丰,191
惠东,深圳北,88
潮阳,惠东,191
莆田,惠安,51
宁波,温州南,275
莆田,尤溪,154
晋江,惠安,68
鲘门,深圳北,123
葵潭,鲘门,98
潮汕,葵潭,84
云霄,诏安,32
厦门北,云霄,118
仙游,泉州,45
莆田,仙游,24
盘锦北,唐山北,398
四平东,沈阳北,180
长春西,四平东,118
惠东,葵潭,165
潮阳,陆丰,88
云霄,潮汕,91
漳浦,云霄,31
仙游,厦门北,116
福鼎,霞浦,53
仙游,涵江,44
鲘门,普宁,68
深圳坪山,鲘门,87
福州,福州南,19
古田北,福州,79
南平北,古田北,42
武夷山东,南平北,104
上饶,武夷山东,115
惠州南,葵潭,165
福清,莆田,50
惠东,陆丰,135
汕尾,深圳坪山,120
葵潭,汕尾,65
潮阳,葵潭,58
饶平,潮阳,67
漳浦,饶平,81
鲘门,潮阳,156
晋江,莆田,94
惠州南,潮汕,249
葵潭,陆丰,30
漳州,饶平,126
福州南,仙游,110
角美,厦门北,24
漳浦,角美,63
深圳北,汕尾,56
陆丰,汕尾,35
普宁,潮阳,27
潮汕,惠东,217
厦门,诏安,163
普宁,诏安,112
厦门,漳浦,100
漳州,厦门,55
角美,诏安,126
南丰,南城,32
三明北,建宁县北,122
三明,三明北,29
永安南,三明,39
漳平西,永安南,71
龙岩,漳平西,353
南靖,漳州,34
龙岩,南靖,80
三明北,永安南,141
诏安,厦门北,150
惠安,泉州,18
仙游,惠安,27
永泰,莆田,59
五府山,上饶,30
武夷山北,五府山,50
武夷山东,武夷山北,35
建瓯西,武夷山东,51
南平北,建瓯西,53
闽清北,古田北,29
福州,闽清北,50
福清,福州,55
惠州南,普宁,196
漳州,角美,70
深圳北,潮汕,305
云霄,厦门,131
惠州南,潮阳,236
厦门,角美,37
惠东,普宁,164
陆丰,鲘门,68
漳州,龙岩,114
潮阳,漳州,220
南平北,福州,121
于都,赣州,54
瑞金,于都,72
长汀南,瑞金,34
冠豸山,长汀南,44
古田会址,冠豸山,39
龙岩,古田会址,28
贵港,南宁东,140
桂平,贵港,58
平南南,桂平,35
藤县,平南南,59
梧州南,藤县,25
郁南,梧州南,31
云浮东,郁南,77
肇庆东,云浮东,62
郁南,肇庆东,139
贵港,藤县,152
宾阳,贵港,140
阳朔,桂林北,67
枝江北,仙桃西,134
大英东,遂宁,27
厦门,厦门北,39
晋江,厦门,77
南城,三明北,203
枫林,共青城,96
阳新,枫林,26
深圳坪山,东莞,84
昌图西,四平东,51
东戴河,沈阳北,379
盘锦北,锦州南,69
沈阳北,辽中,68
扶余北,长春西,142
方正,宾州,107
高楞,方正,40
依兰,高楞,42
襄汾西,侯马西,27
祁县东,霍州东,103
晋中,祁县东,50
闻喜西,洪洞西,111
临汾西,西安北,346
临汾西,太原南,47
西安北,运城北,63
霍州东,襄汾西,64
忻州西,太原南,69
原平西,忻州西,34
应县,原平西,106
怀仁东,应县,22
永济北,渭南北,115
介休东,临汾西,122
介休东,太原南,111
运城北,襄汾西,91
介休东,晋中,95
襄汾西,永济北,144
灵石东,晋中,116
襄汾西,灵石东,133
临汾西,渭南北,291
临汾西,祁县东,167
渭南北,侯马西,224
晋中,洪洞西,197
介休东,太谷西,64
灵石东,介休东,21
闻喜西,霍州东,155
西安北,永济北,337
侯马西,闻喜西,32
侯马西,太原南,292
杨陵南,西安北,89
宝鸡南,杨陵南,78
岐山,宝鸡南,37
杨陵南,岐山,41
咸阳秦都,西安北,30
岐山,咸阳秦都,100
咸阳秦都,杨陵南,59
平遥古城,襄汾西,172
岐山,西安北,130
天水南,宝鸡南,132
兰州西,天水南,269
宝鸡南,咸阳秦都,137
介休东,闻喜西,213
大荔,闻喜西,139
秦安,天水南,40
兰州西,秦安,229
西宁,兰州西,188
宝鸡南,西安北,167
太原南,灵石东,140
公主岭南,德惠西,147
开原西,公主岭南,134
榆中,兰州西,47
定西北,榆中,47
天水南,定西北,175
通渭,天水南,96
兰州西,通渭,173
定西北,兰州西,94
秦安,定西北,135
榆中,秦安,182
海石湾,兰州西,87
西宁,海石湾,101
张掖西,西宁,297
酒泉南,张掖西,191
嘉峪关南,酒泉南,21
民乐,张掖西,64
西宁,民乐,233
民和南,西宁,101
兰州西,民和南,87
通渭,定西北,79
大通西,西宁,43
张掖西,大通西,254
临泽南,张掖西,35
酒泉南,临泽南,156
东岔,宝鸡南,67
天水南,东岔,65
兰州西,西安北,568
平安驿,兰州西,163
西宁,平安驿,25
乐都,海石湾,45
西宁,乐都,56
高台南,张掖西,71
酒泉南,高台南,120
乐都,兰州西,132
沈阳北,葫芦岛北,266
哈尔滨西,沈阳北,538
嘉峪关南,张掖西,212
玉门,嘉峪关南,126
柳园南,玉门,163
哈密,柳园南,261
鄯善北,哈密,281
吐鲁番北,鄯善北,91
乌鲁木齐,吐鲁番北,167
门源,西宁,98
民乐,门源,135
