station_a,station_b,mileage
葛根庙,镇西,5
乌兰浩特,葛根庙,29
金州,大连,33
瓦房店,金州,72
熊岳城,瓦房店,74
盖州,熊岳城,31
大石桥,盖州,30
海城,大石桥,32
鞍山,海城,36
沈阳,鞍山,89
铁岭,沈阳,70
开原,铁岭,34
昌图,开原,31
四平,昌图,53
公主岭,四平,53
长春,公主岭,62
哈尔滨,长春,246
海林,哈尔滨,333
牡丹江,海林,22
山市,海林,29
横道河子,山市,32
亚布力,横道河子,60
苇河,亚布力,20
一面坡,苇河,31
尚志,一面坡,20
帽儿山,尚志,41
平山,帽儿山,11
小岭,平山,10
玉泉,小岭,17
阿城,玉泉,21
成高子,阿城,21
下板城,承德,34
平泉,下板城,63
杨树岭,平泉,20
三十家,杨树岭,25
凌源,三十家,42
叶柏寿,凌源,31
公营子,叶柏寿,20
朝阳南,公营子,65
北票南,朝阳南,41
义县西,北票南,45
义县,义县西,3
凌海,锦州,23
沟帮子,凌海,41
大虎山,沟帮子,42
新民,大虎山,71
沈阳,新民,56
锦州,沟帮子,64
北票南,义县,48
凌源东,叶柏寿,27
凌源,凌源东,4
小寺沟,平泉,15
下板城,小寺沟,48
普兰店,金州,45
瓦房店,普兰店,27
辽阳,鞍山,25
沈阳,辽阳,64
沈阳北,沈阳,3
铁岭,沈阳北,67
昌图,铁岭,65
八面城,四平,28
双辽,八面城,65
茂林,双辽,58
保康,茂林,19
太平川,保康,34
通榆,太平川,49
黑水,通榆,52
洮南,黑水,16
白城,洮南,32
镇赉,白城,38
泰来,镇赉,64
齐齐哈尔,泰来,116
扎兰屯,齐齐哈尔,192
博克图,扎兰屯,123
免渡河,博克图,95
牙克石,免渡河,33
大雁,牙克石,18
海拉尔,大雁,46
太谷,榆次,36
祁县,太谷,23
平遥,祁县,22
介休,平遥,31
灵石,介休,27
霍州,灵石,43
洪洞,霍州,42
临汾,洪洞,23
侯马,临汾,60
新绛,侯马,16
稷山,新绛,20
河津,稷山,26
韩城,河津,43
西安,韩城,219
韦庄,西安,133
合阳北,韦庄,44
韩城,合阳北,42
霍州,临汾,65
介休,霍州,70
莒南,日照,80
临沂,莒南,54
费县,临沂,44
平邑,费县,43
泗水,平邑,41
曲阜,泗水,23
兖州,曲阜,31
济宁,兖州,32
菏泽,济宁,107
东明县,菏泽,28
长垣,东明县,46
新乡,长垣,101
平邑,兖州,95
许家屯,瓦房店,56
盖州,许家屯,49
苏家屯,辽阳,48
沈阳,苏家屯,16
长春,四平,115
哈尔滨东,长春,255
绥化,哈尔滨东,128
绥棱,绥化,70
海伦,绥棱,32
通北,海伦,42
北安,通北,64
五大连池,北安,52
龙镇,五大连池,11
襄河,龙镇,18
孙吴,襄河,106
黑河,孙吴,116
赵光,北安,27
通北,赵光,37
海北,通北,15
海伦,海北,27
呼兰,绥化,93
哈尔滨东,呼兰,35
五龙背,丹东,24
凤凰城,五龙背,36
草河口,凤凰城,69
本溪,草河口,18
沈阳,本溪,76
新立屯,沈阳,175
阜新南,新立屯,61
义县西,阜新南,72
平泉,凌源,87
承德,平泉,97
鹰手营子,承德,80
兴隆县,鹰手营子,21
密云北,兴隆县,65
怀柔,密云北,22
顺义,怀柔,23
通州西,顺义,27
北京,通州西,18
密云北,通州西,72
桥头,本溪,13
草河口,桥头,51
刘家河,草河口,28
凤凰城,刘家河,41
赵城,洪洞,15
霍州,赵城,27
太原东,太原,3
忻州,太原东,85
原平,忻州,36
宁武,原平,65
朔州,宁武,37
岱岳,朔州,44
怀仁,岱岳,43
大同,怀仁,42
卓资东,集宁南,54
呼和浩特东,卓资东,96
萨拉齐,呼和浩特东,113
秦皇岛,北京,299
山海关,秦皇岛,16
锦州,山海关,184
盘锦,锦州,95
西柳,盘锦,63
海城,西柳,14
盘锦,海城,77
沟帮子,盘锦,31
绥中,锦州,119
昌黎,秦皇岛,50
滦县,昌黎,41
唐山北,滦县,57
玉田县,唐山北,34
燕郊,玉田县,81
北京,燕郊,36
天津,北京,137
沈阳北,大虎山,127
抚顺北,沈阳北,44
清原,抚顺北,99
梅河口,清原,82
辽源,梅河口,73
绥中,葫芦岛,69
抚宁,山海关,48
唐山,抚宁,125
塘沽,唐山,83
天津,塘沽,40
廊坊北,天津,63
北京,宣化,171
芦台,塘沽,41
唐山,芦台,42
北戴河,昌黎,28
秦皇岛,北戴河,22
天津,芦台,81
张家口南,北京,196
大同,张家口南,178
怀柔北,昌平北,50
滦平,怀柔北,116
隆化,滦平,69
四合永,隆化,62
赤峰,四合永,150
扎赉诺尔西,满洲里,23
海拉尔,扎赉诺尔西,163
牙克石,海拉尔,82
龙江,牙克石,344
富拉尔基,龙江,39
大庆东,富拉尔基,136
安达,大庆东,21
哈尔滨,安达,127
双城堡,哈尔滨,51
扶余,双城堡,66
德惠,扶余,63
长春,德惠,112
熊岳城,大石桥,61
惠农,乌海西,22
石嘴山,惠农,47
银川,石嘴山,55
青铜峡,银川,66
中宁,青铜峡,60
中卫,中宁,36
景泰,中卫,132
白银西,景泰,87
兰州,白银西,87
兰州西,兰州,10
察素齐,包头东,98
萨拉齐,呼和浩特,105
临河,包头,218
陶赖昭,德惠,42
扶余,陶赖昭,21
哈尔滨西,扶余,93
哈尔滨,哈尔滨西,9
牡丹江,哈尔滨,369
穆棱,牡丹江,66
绥阳,穆棱,50
绥芬河,绥阳,21
横道河子,海林,117
哈尔滨,尚志,86
沈阳,四平,188
牡丹江,宁安,32
柴河,牡丹江,24
